Det Interr.Msc.Sg.Acc	PQMSA
Det Interr.Msc.Sg.Dat	PQMSD
Det Interr.Msc.Sg.Gen	PQMSG
Det Interr.Msc.Sg.Nom	PQMSN
Det Interr.Neu.Pl.Acc	PQNPA
Det Interr.Neu.Pl.Dat	PQNPD
Det Interr.Neu.Pl.Gen	PQNPG
Det Interr.Neu.Pl.Nom	PQNPN
Det Interr.Neu.Sg.Acc	PQNSA
Det Interr.Neu.Sg.Dat	PQNSD
Det Interr.Neu.Sg.Gen	PQNSG
Det Interr.Neu.Sg.Nom	PQNSN
Det Msc.Pl.Acc	PDMPA
Det Msc.Pl.Acc.Indef	PIMPA
Det Msc.Pl.Adv	PIMPA
Det Msc.Pl.Dat	PDMPD
Det Msc.Pl.Dat.Indef	PIMPD
Det Msc.Pl.Gen	PDMPG
Det Msc.Pl.Nom	PDMPN
Det Msc.Pl.Nom.Indef	PIMPN
Det Msc.Sg.Acc	PDMSA
Det Msc.Sg.Acc.Def	PIMSA
Det Msc.Sg.Acc.Indef	PIMSA
Det Msc.Sg.Dat	PDMSD
Det Msc.Sg.Dat.Indef	PIMSD
Det Msc.Sg.Gen	PDMSG
Det Msc.Sg.Gen.Indef	PIMSG
Det Msc.Sg.Nom	PDMSN
Det Msc.Sg.Nom.Indef	PIMSN
Det Neu.Pl.Acc	PDNPA
Det Neu.Pl.Acc.Indef	PINPA
Det Neu.Pl.Adv	PINPA
Det Neu.Pl.Dat	PDNPD
Det Neu.Pl.Dat.Indef	PINPD
Det Neu.Pl.Gen	PDNPG
Det Neu.Pl.Nom	PDNPN
Det Neu.Pl.Nom.Indef	PINPN
Det Neu.Sg.Acc	PDNSA
Det Neu.Sg.Acc.Def	PINSA
Det Neu.Sg.Acc.Indef	PINSA
Det Neu.Sg.Dat	PDNSD
Det Neu.Sg.Dat.Def	PINSD
Det Neu.Sg.Dat.Indef	PINSD
Det Neu.Sg.Gen	PDNSG
Det Neu.Sg.Gen.Indef	PINSG
Det Neu.Sg.Nom	PDNSN
Det Neu.Sg.Nom.Indef	PINSN
Det Poss.Fem.Pl.Acc	PEFPA
Det Poss.Fem.Pl.Dat	PEFPD
Det Poss.Fem.Pl.Gen	PEFPG
Det Poss.Fem.Pl.Nom	PEFPN
Det Poss.Fem.Sg.Acc	PEFSA
Det Poss.Fem.Sg.Dat	PEFSD
Det Poss.Fem.Sg.Gen	PEFSG
Det Poss.Fem.Sg.Nom	PEFSN
Det Poss.Msc.Pl.Acc	PEMPA
Det Poss.Msc.Pl.Dat	PEMPD
Det Poss.Msc.Pl.Gen	PEMPG
Det Poss.Msc.Pl.Nom	PEMPN
Det Poss.Msc.Sg.Acc	PEMSA
Det Poss.Msc.Sg.Dat	PEMSD
Det Poss.Msc.Sg.Gen	PEMSG
Det Poss.Msc.Sg.Nom	PEMSN
Det Poss.Neu.Pl.Acc	PENPA
Det Poss.Neu.Pl.Dat	PENPD
Det Poss.Neu.Pl.Gen	PENPG
Det Poss.Neu.Pl.Nom	PENPN
Det Poss.Neu.Sg.Acc	PENSA
Det Poss.Neu.Sg.Dat	PENSD
Det Poss.Neu.Sg.Gen	PENSG
Det Poss.Neu.Sg.Nom	PENSN
Det Prop.Attr	F
Fem Pl.Acc.Indef	VAAFPA
Fem Pl.Nom.Indef	VAAFPN
Fem Sg.Acc.Indef	VAAFSA
Fem Sg.Nom.Indef	VAAFSN
IM __UNDEF__	CI
Interj __UNDEF__	DI
la __UNDEF__	X
Msc Pl.Acc.Indef	VAAFPA
Msc Pl.Nom.Indef	VAAMPN
Msc Sg.Nom.Indef	VAAMSN
N Acc	DN
N ACR.Acc	TS
N ACR.Dat	TS
N ACR.Gen	TS
N ACR.Nom	TS
Neu Pl.Acc.Indef	VAANPA
Neu Pl.Nom.Indef	VAANPN
N Fem.Pl.Acc	SFPA
N Fem.Pl.Acc.Def	SFPAA
N Fem.Pl.Acc.Indef	SFPA
N Fem.Pl.Acc.Indef.Cmpnd	TT
N Fem.Pl.Dat	SFPD
N Fem.Pl.Dat.Def	SFPDA
N Fem.Pl.Dat.Indef	SFPD
N Fem.Pl.Gen	SFPG
N Fem.Pl.Gen.Def	SFPGA
N Fem.Pl.Gen.Indef	SFPG
N Fem.Pl.Gen.Indef.Cmpnd	TT
N Fem.Pl.Nom	SFPN
N Fem.Pl.Nom.Def	SFPNA
N Fem.Pl.Nom.Indef	SFPN
N Fem.Pl.Nom.Indef.Cmpnd	TT
N Fem.Pl.Pl.Acc.Def	SFPAA
N Fem.Pl.Pl.Acc.Indef	SFPA
N Fem.Pl.Pl.Dat.Def	SFPDA
N Fem.Pl.Pl.Dat.Indef	SFPD
N Fem.Pl.Pl.Nom.Def	SFPNA
N Fem.Pl.Pl.Nom.Indef	SFPN
N Fem.Sg.Acc	SFSA
N Fem.Sg.Acc.Cmpnd	TT
N Fem.Sg.Acc.Def	SFSAA
N Fem.Sg.Acc.Indef	SFSA
N Fem.Sg.Acc.Indef.Cmpnd	TT
N Fem.Sg.Dat	SFSD
N Fem.Sg.Dat.Def	SFSDA
N Fem.Sg.Dat.Indef	SFSD
N Fem.Sg.Dat.Indef.Cmpnd	TT
N Fem.Sg.Gen	SFSG
N Fem.Sg.Gen.Def	SFSGA
N Fem.Sg.Gen.Indef	SFSG
N Fem.Sg.Gen.Indef.Cmpnd	TT
N Fem.Sg.Nom	SFSG
N Fem.Sg.Nom.Def	SFSGA
N Fem.Sg.Nom.Def.Cmpnd	TT
N Fem.Sg.Nom.Indef	SFSG
N Fem.Sg.Nom.Indef.Cmpnd	TT
N Msc.Pl.Acc.Def	SMPAA
N Msc.Pl.Acc.Indef	SMPA
N Msc.Pl.Acc.Indef.Cmpnd	TT
N Msc.Pl.Dat.Def	SMPDA
N Msc.Pl.Dat.Indef	SMPD
N Msc.Pl.Gen.Def	SMPGA
N Msc.Pl.Gen.Def.Cmpnd	TT
N Msc.Pl.Gen.Indef	SMPG
N Msc.Pl.Gen.Indef.Cmpnd	TT
N Msc.Pl.Nom.Def	SMPNA
N Msc.Pl.Nom.Indef	SMPA
N Msc.Pl.Nom.Indef.Cmpnd	TT
N Msc.Sg	SMSD
N Msc.Sg.Acc.Def	SMSAA
N Msc.Sg.Acc.Def.Cmpnd	TT
N Msc.Sg.Acc.Indef	SMSA
N Msc.Sg.Acc.Indef.Cmpnd	TT
N Msc.Sg.Dat.Def	SMSDA
N Msc.Sg.Dat.Indef	SMSD
N Msc.Sg.Dat.Indef.Cmpnd	TT
N Msc.Sg.Gen.Def	SMSGA
N Msc.Sg.Gen.Indef	SMSG
N Msc.Sg.Gen.Indef.Cmpnd	TT
N Msc.Sg.Nom.Def	SMSNA
N Msc.Sg.Nom.Indef	SMSN
N Msc.Sg.Nom.Indef.Cmpnd	TT
N Neu.Pl.Acc.Def	SNPAA
N Neu.Pl.Acc.Indef	SNPA
N Neu.Pl.Acc.Indef.Cmpnd	TT
N Neu.Pl.Dat.Def	SNPDA
N Neu.Pl.Dat.Indef	SNPD
N Neu.Pl.Dat.Indef.Cmpnd	TT
N Neu.Pl.Gen.Def	SNPGA
N Neu.Pl.Gen.Indef	SNPG
N Neu.Pl.Gen.Indef.Cmpnd	TT
N Neu.Pl.Nom.Def	SNPNA
N Neu.Pl.Nom.Indef	SNPN
N Neu.Pl.Nom.Indef.Cmpnd	TT
N Neu.Sg.Acc.Def	SNSAA
N Neu.Sg.Acc.Indef	SNSA
N Neu.Sg.Acc.Indef.Cmpnd	TT
N Neu.Sg.Dat.Def	SNSDA
N Neu.Sg.Dat.Indef	SNSD
N Neu.Sg.Dat.Indef.Cmpnd	TT
N Neu.Sg.Gen.Def	SNSGA
N Neu.Sg.Gen.Indef	SNSG
N Neu.Sg.Gen.Indef.Cmpnd	TT
N Neu.Sg.Nom.Def	SNSNA
N Neu.Sg.Nom.Indef	SNSN
N Neu.Sg.Nom.Indef.Cmpnd	TT
N Prop.Fem.Pl.Acc.Def	SFPAAP
N Prop.Fem.Pl.Acc.Indef	SFPA-P
N Prop.Fem.Pl.Dat.Def	SFPDAP
N Prop.Fem.Pl.Dat.Indef	SFPD-P
N Prop.Fem.Pl.Gen.Indef	SFPG-P
N Prop.Fem.Pl.Gen.Indef.Cmpnd	TT
N Prop.Fem.Pl.Nom.Indef	SFPN-P
N Prop.Fem.Sg.Acc	SFSA-P
N Prop.Fem.Sg.Acc.Def	SFSAAP
N Prop.Fem.Sg.Acc.Indef	SFSA-P
N Prop.Fem.Sg.Dat	SFSD-P
N Prop.Fem.Sg.Dat.Def	SFSDAP
N Prop.Fem.Sg.Dat.Indef	SFSD-P
N Prop.Fem.Sg.Gen	SFSG-P
N Prop.Fem.Sg.Gen.Indef	SFSG-P
N Prop.Fem.Sg.Nom	SFSN-P
N Prop.Fem.Sg.Nom.Def	SFSNAP
N Prop.Fem.Sg.Nom.Indef	SFSN-P
N Prop.Fem.Sg.Nom.Indef.Cmpnd	TT
N Prop.Msc.Pl.Acc.Def	SMPAAP
N Prop.Msc.Pl.Acc.Indef	SMPA-P
N Prop.Msc.Pl.Dat.Def	SMPDAP
N Prop.Msc.Pl.Dat.Indef	SMPD-P
N Prop.Msc.Pl.Nom.Indef	SMPN-P
N Prop.Msc.Sg.Acc.Def	SMSAAP
N Prop.Msc.Sg.Acc.Indef	SMSA-P
N Prop.Msc.Sg.Acc.Indef.Cmpnd	TT
N Prop.Msc.Sg.Dat.Def	SMSDAP
N Prop.Msc.Sg.Dat.Indef	SMSD-P
